Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Confidence
	Frame	percent	
	1324	100	
	1325	99.8875	
	1326	99.74	
	1327	99.6907	
	1328	99.6163	
	1329	99.5917	
	1330	99.5948	
	1331	99.4539	
	1332	99.3381	
	1333	99.3711	
	1334	99.1244	
	1335	99.0968	
	1336	98.9071	
	1337	98.8534	
	1338	98.7612	
	1339	98.6905	
	1340	98.7733	
	1341	98.5349	
	1342	98.5176	
	1343	98.7093	
	1344	98.7457	
	1345	98.6431	
	1346	98.6594	
	1347	98.5206	
	1348	98.9351	
	1349	99.0434	
	1350	99.0479	
	1351	99.0786	
	1352	99.0979	
	1353	99.1878	
	1354	99.2539	
	1355	99.0351	
	1356	99.0114	
	1357	98.9561	
	1358	99.1025	
	1359	99.0923	
	1360	99.1044	
	1361	99.1353	
	1362	99.1616	
	1363	98.8163	
	1364	98.7064	
	1365	98.8356	
	1366	99.0048	
	1367	99.0914	
	1368	99.1169	
	1369	99.2234	
	1370	99.1245	
	1371	99.1985	
	1372	99.3037	
	1373	99.1741	
	1374	99.1545	
	1375	98.8773	
	1376	98.563	
	1377	98.6163	
	1378	98.4264	
	1379	98.0771	
	1380	97.8519	
	1381	98.5929	
	1382	98.3528	
	1383	98.3306	
	1384	98.3699	
	1385	98.4382	
	1386	98.2831	
	1387	98.1654	
	1388	98.2557	
	1389	98.5162	
	1390	98.3473	
	1391	98.4735	
	1392	98.2174	
	1393	97.8928	
	1394	97.9398	
	1395	98.0095	
	1396	98.0147	
	1397	97.6259	
	1398	97.8405	
	1399	97.841	
	1400	97.9597	
	1401	98.2592	
	1402	98.1456	
	1403	98.1896	
	1404	98.1902	
	1405	98.1478	
	1406	98.2028	
	1407	98.283	
	1408	98.2466	
	1409	98.2252	
	1410	98.2941	
	1411	98.0782	
	1412	98.0517	
	1413	98.0973	
	1414	97.7583	
	1415	98.152	
	1416	98.2487	
	1417	98.2277	
	1418	98.1906	
	1419	98.0142	
	1420	98.1191	
	1421	97.8819	
	1422	97.9102	
	1423	97.551	
	1424	97.5984	
	1425	96.9505	
	1426	97.0698	
	1427	96.7966	
	1428	96.6886	
	1429	96.4427	
	1430	96.7043	
	1431	96.7852	
	1432	96.5824	
	1433	96.2027	
	1434	94.6302	
	1435	92.9156	
	1436	92.983	
	1437	92.7054	
	1438	92.9473	
	1439	95.0559	
	1440	96.2409	
	1441	95.9904	
	1442	97.1536	
	1443	97.3547	
	1444	96.9233	
	1445	96.8018	
	1446	95.5313	
	1447	96.2126	
	1448	96.1715	
	1449	95.9719	
	1450	96.1022	
	1451	95.9345	
	1452	96.1651	
	1453	96.8399	
	1454	95.9792	
	1455	95.5672	
	1456	94.9431	
	1457	94.8375	
	1458	94.6785	
