Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	4728	1114.45	637.613
	4729	1114.34	637.617
	4730	1114.24	637.602
	4731	1114	637.566
	4732	1113.79	637.543
	4733	1113.66	637.527
	4734	1113.59	637.527
	4735	1113.49	637.527
	4736	1113.39	637.527
	4737	1113.29	637.523
	4738	1113.09	637.516
	4739	1112.87	637.508
	4740	1112.71	637.488
	4741	1112.62	637.461
	4742	1112.54	637.449
	4743	1112.43	637.449
	4744	1112.34	637.445
	4745	1112.2	637.449
	4746	1111.97	637.453
	4747	1111.79	637.449
	4748	1111.67	637.434
	4749	1111.59	637.414
	4750	1111.48	637.418
	4751	1111.37	637.418
	4752	1111.29	637.414
	4753	1111.09	637.418
	4754	1110.84	637.422
	4755	1110.71	637.406
	4756	1110.62	637.391
	4757	1110.53	637.379
	4758	1110.42	637.383
	4759	1110.34	637.379
	4760	1110.22	637.383
	4761	1109.98	637.387
	4762	1109.79	637.379
	4763	1109.67	637.363
	4764	1109.6	637.344
	4765	1109.48	637.34
	4766	1109.36	637.336
	4767	1109.32	637.32
	4768	1109.13	637.316
	4769	1108.89	637.309
	4770	1108.73	637.289
	4771	1108.62	637.254
	4772	1108.54	637.234
	4773	1108.41	637.219
	4774	1108.34	637.203
	4775	1108.25	637.188
	4776	1108.01	637.18
	4777	1107.8	637.164
	4778	1107.67	637.129
	4779	1107.59	637.09
	4780	1107.47	637.074
	4781	1107.35	637.047
	4782	1107.34	637.016
	4783	1107.14	637.004
	4784	1106.89	636.988
	4785	1106.74	636.965
	4786	1106.64	636.934
	4787	1106.55	636.902
	4788	1106.43	636.887
	4789	1106.34	636.863
	4790	1106.32	636.852
	4791	1106.14	636.84
	4792	1105.98	636.848
	4793	1105.85	636.84
	4794	1105.75	636.82
	4795	1105.68	636.797
	4796	1105.55	636.781
	4797	1105.39	636.766
	4798	1105.24	636.738
	4799	1105	636.723
	4800	1104.81	636.695
	4801	1104.68	636.664
	4802	1104.58	636.641
