Adobe After Effects 8.0 Keyframe Data

	Units Per Second	59.94
	Source Width	7680
	Source Height	3840
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Spider	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	11866	4219.86	1285.55	
	11867	4219.86	1285.55	
	11868	4219.86	1285.55	
	11869	4219.86	1285.55	
	11870	4219.86	1285.55	
	11871	4219.86	1285.55	
	11872	4219.86	1285.55	
	11873	4219.86	1285.55	
	11874	4219.86	1285.55	
	11875	4219.86	1285.55	
	11876	4219.86	1285.55	
	11877	4219.86	1285.55	
	11878	4219.86	1285.55	
	11879	4219.86	1285.55	
	11880	4219.86	1285.55	
	11881	4219.86	1285.55	
	11882	4219.86	1285.55	
	11883	4219.86	1285.55	
	11884	4219.86	1285.55	
	11885	4219.86	1285.55	
	11886	4219.86	1285.55	
	11887	4219.86	1285.55	
	11888	4219.86	1285.55	
	11889	4219.86	1285.55	
	11890	4219.86	1285.55	
	11891	4219.86	1285.55	
	11892	4219.86	1285.55	
	11893	4219.86	1285.55	
	11894	4219.86	1285.55	
	11895	4219.86	1285.55	
	11896	4219.86	1285.55	
	11897	4219.86	1285.55	
	11898	4219.86	1285.55	
	11899	4219.86	1285.55	
	11900	4219.86	1285.55	
	11901	4219.86	1285.55	
	11902	4219.86	1285.55	
	11903	4219.86	1285.55	
	11904	4219.86	1285.55	
	11905	4219.86	1285.55	
	11906	4219.86	1285.55	
	11907	4219.86	1285.55	
	11908	4219.86	1285.55	
	11909	4219.86	1285.55	
	11910	4219.86	1285.55	
	11911	4219.86	1285.55	
	11912	4219.86	1285.55	
	11913	4219.86	1285.55	
	11914	4219.86	1285.55	
	11915	4219.86	1285.55	
	11916	4219.86	1285.55	
	11917	4219.86	1285.55	
	11918	4219.86	1285.55	
	11919	4219.86	1285.55	
	11920	4219.86	1285.55	
	11921	4219.86	1285.55	
	11922	4219.86	1285.55	
	11923	4219.86	1285.55	
	11924	4219.86	1285.55	
	11925	4219.86	1285.55	
	11926	4219.86	1285.55	
	11927	4219.86	1285.55	
	11928	4219.86	1285.55	
	11929	4219.86	1285.55	
	11930	4219.86	1285.55	
	11931	4219.86	1285.55	
	11932	4219.86	1285.55	
	11933	4219.86	1285.55	
	11934	4219.86	1285.55	
	11935	4219.86	1285.55	
	11936	4219.86	1285.55	
	11937	4219.86	1285.55	
	11938	4219.86	1285.55	
	11939	4219.86	1285.55	
	11940	4219.86	1285.55	
	11941	4219.86	1285.55	
	11942	4219.86	1285.55	
	11943	4219.86	1285.55	
	11944	4219.86	1285.55	
	11945	4219.86	1285.55	
	11946	4219.86	1285.55	
	11947	4219.86	1285.55	
	11948	4219.86	1285.55	
	11949	4219.86	1285.55	
	11950	4219.86	1285.55	
	11951	4219.86	1285.55	
	11952	4219.86	1285.55	
	11953	4219.86	1285.55	
	11954	4219.86	1285.55	
	11955	4219.86	1285.55	
	11956	4219.86	1285.55	
	11957	4219.86	1285.55	
	11958	4219.86	1285.55	
	11959	4219.86	1285.55	
	11960	4219.86	1285.55	
	11961	4219.86	1285.55	
	11962	4219.86	1285.55	
	11963	4219.86	1285.55	
	11964	4219.86	1285.55	
	11965	4219.86	1285.55	
	11966	4219.86	1285.55	
	11967	4219.86	1285.55	
	11968	4219.86	1285.55	
	11969	4219.86	1285.55	
	11970	4219.86	1285.55	
	11971	4219.86	1285.55	
	11972	4219.86	1285.55	
	11973	4219.86	1285.55	
	11974	4219.86	1285.55	
	11975	4219.86	1285.55	
	11976	4219.86	1285.55	
	11977	4219.86	1285.55	
	11978	4219.86	1285.55	
	11979	4219.86	1285.55	
	11980	4219.86	1285.55	
	11981	4219.86	1285.55	
	11982	4219.86	1285.55	
	11983	4219.86	1285.55	
	11984	4219.86	1285.55	
	11985	4219.86	1285.55	
	11986	4219.86	1285.55	
	11987	4219.86	1285.55	
	11988	4219.86	1285.55	
	11989	4219.86	1285.55	
	11990	4219.86	1285.55	
	11991	4219.86	1285.55	
	11992	4219.86	1285.55	
	11993	4219.86	1285.55	
	11994	4219.86	1285.55	
	11995	4219.86	1285.55	
	11996	4219.86	1285.55	
	11997	4219.86	1285.55	
	11998	4219.86	1285.55	
	11999	4219.86	1285.55	
	12000	4219.86	1285.55	
	12001	4219.86	1285.55	
	12002	4219.86	1285.55	
	12003	4219.86	1285.55	
	12004	4219.86	1285.55	
	12005	4219.86	1285.55	
	12006	4219.86	1285.55	
	12007	4219.86	1285.55	
	12008	4219.86	1285.55	
	12009	4219.86	1285.55	
	12010	4219.86	1285.55	
	12011	4219.86	1285.55	
	12012	4219.86	1285.55	
	12013	4219.86	1285.55	
	12014	4219.86	1285.55	
	12015	4219.86	1285.55	
	12016	4219.86	1285.55	
	12017	4219.86	1285.55	
	12018	4219.86	1285.55	
	12019	4219.86	1285.55	
	12020	4219.86	1285.55	
	12021	4219.86	1285.55	
	12022	4219.86	1285.55	
	12023	4219.86	1285.55	
	12024	4219.86	1285.55	
	12025	4219.86	1285.55	
	12026	4219.86	1285.55	
	12027	4219.86	1285.55	
	12028	4219.86	1285.55	
	12029	4219.86	1285.55	
	12030	4219.86	1285.55	
	12031	4219.86	1285.55	
	12032	4219.86	1285.55	
	12033	4219.86	1285.55	
	12034	4219.86	1285.55	
	12035	4219.86	1285.55	
	12036	4219.86	1285.55	
	12037	4219.86	1285.55	
	12038	4219.86	1285.55	
	12039	4219.86	1285.55	
	12040	4219.86	1285.55	
	12041	4219.86	1285.55	
	12042	4219.86	1285.55	
	12043	4219.86	1285.55	
	12044	4219.86	1285.55	
	12045	4219.86	1285.55	
	12046	4219.86	1285.55	
	12047	4219.86	1285.55	
	12048	4219.86	1285.55	
	12049	4219.86	1285.55	
	12050	4219.86	1285.55	
	12051	4219.86	1285.55	
	12052	4219.86	1285.55	
	12053	4219.86	1285.55	
	12054	4219.86	1285.55	
	12055	4219.86	1285.55	
	12056	4219.86	1285.55	
	12057	4219.86	1285.55	
	12058	4219.86	1285.55	
	12059	4219.86	1285.55	
	12060	4219.86	1285.55	
	12061	4219.86	1285.55	
	12062	4219.86	1285.55	
	12063	4219.86	1285.55	
	12064	4219.86	1285.55	
	12065	4219.86	1285.55	
	12066	4219.86	1285.55	
	12067	4219.86	1285.55	
	12068	4219.86	1285.55	
	12069	4219.86	1285.55	
	12070	4219.86	1285.55	
	12071	4219.86	1285.55	
	12072	4219.86	1285.55	
	12073	4219.86	1285.55	
	12074	4219.86	1285.55	
	12075	4219.86	1285.55	
	12076	4219.86	1285.55	
	12077	4219.86	1285.55	
	12078	4219.86	1285.55	
	12079	4219.86	1285.55	
	12080	4219.86	1285.55	
	12081	4219.86	1285.55	
	12082	4219.86	1285.55	
	12083	4219.86	1285.55	
	12084	4219.86	1285.55	
	12085	4219.86	1285.55	
	12086	4219.86	1285.55	
	12087	4219.86	1285.55	
	12088	4219.86	1285.55	
	12089	4219.86	1285.55	
	12090	4219.86	1285.55	
	12091	4219.86	1285.55	
	12092	4219.86	1285.55	
	12093	4219.86	1285.55	
	12094	4219.86	1285.55	
	12095	4219.86	1285.55	
	12096	4219.86	1285.55	
	12097	4219.86	1285.55	
	12098	4219.86	1285.55	
	12099	4219.86	1285.55	
	12100	4219.86	1285.55	
	12101	4219.86	1285.55	
	12102	4219.86	1285.55	
	12103	4219.86	1285.55	
	12104	4219.86	1285.55	
	12105	4219.86	1285.55	
	12106	4219.86	1285.55	
	12107	4219.86	1285.55	
	12108	4219.86	1285.55	
	12109	4219.86	1285.55	
	12110	4219.86	1285.55	
	12111	4219.86	1285.55	
	12112	4219.86	1285.55	
	12113	4219.86	1285.55	
	12114	4219.86	1285.55	
	12115	4219.86	1285.55	
	12116	4219.86	1285.55	
	12117	4219.86	1285.55	
	12118	4219.86	1285.55	
	12119	4219.86	1285.55	
	12120	4219.86	1285.55	
	12121	4219.86	1285.55	
	12122	4219.86	1285.55	
	12123	4219.86	1285.55	
	12124	4219.86	1285.55	
	12125	4219.86	1285.55	
	12126	4219.86	1285.55	
	12127	4219.86	1285.55	
	12128	4219.86	1285.55	
	12129	4219.86	1285.55	
	12130	4219.86	1285.55	
	12131	4219.86	1285.55	
	12132	4219.86	1285.55	
	12133	4219.86	1285.55	
	12134	4219.86	1285.55	
	12135	4219.86	1285.55	
	12136	4219.86	1285.55	
	12137	4219.86	1285.55	
	12138	4219.86	1285.55	
	12139	4219.86	1285.55	
	12140	4219.86	1285.55	
	12141	4219.86	1285.55	
	12142	4219.86	1285.55	
	12143	4219.86	1285.55	
	12144	4219.86	1285.55	
	12145	4219.86	1285.55	
	12146	4219.86	1285.55	
	12147	4219.86	1285.55	
	12148	4219.86	1285.55	
	12149	4219.86	1285.55	
	12150	4219.86	1285.55	
	12151	4219.86	1285.55	
	12152	4219.86	1285.55	
	12153	4219.86	1285.55	
	12154	4219.86	1285.55	
	12155	4219.86	1285.55	
	12156	4219.86	1285.55	
	12157	4219.86	1285.55	
